Product,Reactant,Rxn
CCCC[C@H]1[C@@H](N[C@@H](CC1=O)C1=C2C=CC=CC2=CC=C1)C1=C2C=CC=CC2=CC=C1,CCCC[C@H]1[C@@H](N[C@@H](CC1=O)C1=C2C=CC=CC2=CC=C1)C1=C2C=CC=CC2=CC=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CCCC[C@H]1[C@@H](N[C@@H](CC1=O)C1=C2C=CC=CC2=CC=C1)C1=C2C=CC=CC2=CC=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>CCCC[C@H]1[C@@H](N[C@@H](CC1=O)C1=C2C=CC=CC2=CC=C1)C1=C2C=CC=CC2=CC=C1
O=N(=O)C1=CC=CC2=C1C=CC=C2,C1=CC2=CC=CC=C2C=C1.OS(O)(=O)=O,C1=CC2=CC=CC=C2C=C1.OS(O)(=O)=O>>O=N(=O)C1=CC=CC2=C1C=CC=C2
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Cl-].[H]O[H].O=C1O[Co+]234(OC5=C1C=CC=C5)[N]1=C(C=CC=C1)C1=[N]2C=CC=C1.C1=CC(C2=[N]3C=CC=C2)=[N]4C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Cl-].[H]O[H].O=C1O[Co+]234(OC5=C1C=CC=C5)[N]1=C(C=CC=C1)C1=[N]2C=CC=C1.C1=CC(C2=[N]3C=CC=C2)=[N]4C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
O=C1O[Co++]234(OC5=C1C=C(C=C5)N(=O)=O)[N]1=C(C=CC=C1)C1=[N]2C=CC=C1,[Cl-].[H]O[H].O=C1O[Co+]234(OC5=C1C=CC=C5)[N]1=C(C=CC=C1)C1=[N]2C=CC=C1.C1=CC(C2=[N]3C=CC=C2)=[N]4C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Cl-].[H]O[H].O=C1O[Co+]234(OC5=C1C=CC=C5)[N]1=C(C=CC=C1)C1=[N]2C=CC=C1.C1=CC(C2=[N]3C=CC=C2)=[N]4C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>O=C1O[Co++]234(OC5=C1C=C(C=C5)N(=O)=O)[N]1=C(C=CC=C1)C1=[N]2C=CC=C1
C1=CC(C2=[N]3C=CC=C2)=[N]4C=C1,[Cl-].[H]O[H].O=C1O[Co+]234(OC5=C1C=CC=C5)[N]1=C(C=CC=C1)C1=[N]2C=CC=C1.C1=CC(C2=[N]3C=CC=C2)=[N]4C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Cl-].[H]O[H].O=C1O[Co+]234(OC5=C1C=CC=C5)[N]1=C(C=CC=C1)C1=[N]2C=CC=C1.C1=CC(C2=[N]3C=CC=C2)=[N]4C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>C1=CC(C2=[N]3C=CC=C2)=[N]4C=C1
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[O-][Cl](=O)(=O)=O.O1C=CC=C1C1=[N+](N=C([Se]1)C1=CC=CC=C1)C1=CC=CC=C1,[O-][Cl](=O)(=O)=O.O1C=CC=C1C1=[N+](N=C([Se]1)C1=CC=CC=C1)C1=CC=CC=C1>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
O1C=CC=C1C1=[N+](N=C([Se]1)C1=CC=CC=C1)C1=CC=CC=C1,[O-][Cl](=O)(=O)=O.O1C=CC=C1C1=[N+](N=C([Se]1)C1=CC=CC=C1)C1=CC=CC=C1,[O-][Cl](=O)(=O)=O.O1C=CC=C1C1=[N+](N=C([Se]1)C1=CC=CC=C1)C1=CC=CC=C1>>O1C=CC=C1C1=[N+](N=C([Se]1)C1=CC=CC=C1)C1=CC=CC=C1
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[H]C(=O)C1=CC=CC=C1,[H]C(=O)C1=CC=CC=C1>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
CCOC(=O)[C@H]1[C@@H](N[C@@H]([C@H]1C1=CC=CC=C1)P(=O)(OCC)OCC)C1=CC=CC=C1,[H]C(=O)C1=CC=CC=C1,[H]C(=O)C1=CC=CC=C1>>CCOC(=O)[C@H]1[C@@H](N[C@@H]([C@H]1C1=CC=CC=C1)P(=O)(OCC)OCC)C1=CC=CC=C1
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[O-]N(=O)=O.CCN1C=[N](C2=C1N=C(N)NC2=O)[Pt++]([NH3])([NH3])[N]1=C(N)C=CN(C)C1=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[O-]N(=O)=O.CCN1C=[N](C2=C1N=C(N)NC2=O)[Pt++]([NH3])([NH3])[N]1=C(N)C=CN(C)C1=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
CCN1C=[N](C2=C1N=C(N)[N-]C2=O)[Pt++]([NH3])([NH3])[N]1=C(N)C=CN(C)C1=O,[O-]N(=O)=O.CCN1C=[N](C2=C1N=C(N)NC2=O)[Pt++]([NH3])([NH3])[N]1=C(N)C=CN(C)C1=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[O-]N(=O)=O.CCN1C=[N](C2=C1N=C(N)NC2=O)[Pt++]([NH3])([NH3])[N]1=C(N)C=CN(C)C1=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>CCN1C=[N](C2=C1N=C(N)[N-]C2=O)[Pt++]([NH3])([NH3])[N]1=C(N)C=CN(C)C1=O
COC1=CC=C(CCN)C=C1OC,CC(C)(C)C1=CC2=C3OCC(=O)NCCN4CCNC(=O)COC5=C(COCC3=C1)C=C(C=C5COCC1=C(OCC(=O)NCC4)C(COC2)=CC(=C1)C(C)(C)C)C(C)(C)C.COC1=C(OC)C=C(CCN)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC(C)(C)C1=CC2=C3OCC(=O)NCCN4CCNC(=O)COC5=C(COCC3=C1)C=C(C=C5COCC1=C(OCC(=O)NCC4)C(COC2)=CC(=C1)C(C)(C)C)C(C)(C)C.COC1=C(OC)C=C(CCN)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>COC1=CC=C(CCN)C=C1OC
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC(C)(C)C1=CC2=C3OCC(=O)NCCN4CCNC(=O)COC5=C(COCC3=C1)C=C(C=C5COCC1=C(OCC(=O)NCC4)C(COC2)=CC(=C1)C(C)(C)C)C(C)(C)C.COC1=C(OC)C=C(CCN)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC(C)(C)C1=CC2=C3OCC(=O)NCCN4CCNC(=O)COC5=C(COCC3=C1)C=C(C=C5COCC1=C(OCC(=O)NCC4)C(COC2)=CC(=C1)C(C)(C)C)C(C)(C)C.COC1=C(OC)C=C(CCN)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
CC(C)(C)C1=CC2=C3OCC(=O)NCCN4CCNC(=O)COC5=C(COCC6=CC(=CC(COCC3=C1)=C6OCC(=O)NCC4)C(C)(C)C)C=C(C=C5COC2)C(C)(C)C,CC(C)(C)C1=CC2=C3OCC(=O)NCCN4CCNC(=O)COC5=C(COCC3=C1)C=C(C=C5COCC1=C(OCC(=O)NCC4)C(COC2)=CC(=C1)C(C)(C)C)C(C)(C)C.COC1=C(OC)C=C(CCN)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CC(C)(C)C1=CC2=C3OCC(=O)NCCN4CCNC(=O)COC5=C(COCC3=C1)C=C(C=C5COCC1=C(OCC(=O)NCC4)C(COC2)=CC(=C1)C(C)(C)C)C(C)(C)C.COC1=C(OC)C=C(CCN)C=C1.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>CC(C)(C)C1=CC2=C3OCC(=O)NCCN4CCNC(=O)COC5=C(COCC6=CC(=CC(COCC3=C1)=C6OCC(=O)NCC4)C(C)(C)C)C=C(C=C5COC2)C(C)(C)C
O=N(=O)C1=CC=CC=C1,[Na+].[O-]C([O-])=O.C1=CC=CC=C1,[Na+].[O-]C([O-])=O.C1=CC=CC=C1>>O=N(=O)C1=CC=CC=C1
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[H].[H].[H].[H].[H].[H].C.C.C.C.C.C.N.N.N.N.N.N.[Cl-].[Pt].[H]O[H].OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[H].[H].[H].[H].[H].[H].C.C.C.C.C.C.N.N.N.N.N.N.[Cl-].[Pt].[H]O[H].OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
CC1=CC=[N](N1)[Pt++]([N]1=C(C)C=CN1)([N]1=C(C)C=CN1)[N]1=C(C)C=CN1,[H].[H].[H].[H].[H].[H].C.C.C.C.C.C.N.N.N.N.N.N.[Cl-].[Pt].[H]O[H].OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[H].[H].[H].[H].[H].[H].C.C.C.C.C.C.N.N.N.N.N.N.[Cl-].[Pt].[H]O[H].OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>CC1=CC=[N](N1)[Pt++]([N]1=C(C)C=CN1)([N]1=C(C)C=CN1)[N]1=C(C)C=CN1
OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,OC1=C(C=C(C(=C1)N(=O)=O)N(=O)=O)N(=O)=O,OC1=C(C=C(C(=C1)N(=O)=O)N(=O)=O)N(=O)=O>>OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
[3H]C1=CC2=CC=CC=C2C(=C1[3H])N(=O)=O,[3H]C1=CC2=CC=CC=C2C=C1[3H],[3H]C1=CC2=CC=CC=C2C=C1[3H]>>[3H]C1=CC2=CC=CC=C2C(=C1[3H])N(=O)=O
[Hg][Hg++],[Hg][Hg++].[O-]N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Hg][Hg++].[O-]N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[Hg][Hg++]
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Hg][Hg++].[O-]N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Hg][Hg++].[O-]N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
COC1=C(C=C(C=C1)N(=O)=O)N(=O)=O,COC1=CC=C(C=C1)C(O)C(=O)C1=CC=C(OC)C=C1,COC1=CC=C(C=C1)C(O)C(=O)C1=CC=C(OC)C=C1>>COC1=C(C=C(C=C1)N(=O)=O)N(=O)=O
COC1=C(C=C(C=C1N(=O)=O)C(=O)C(=O)C1=CC(=C(OC)C(=C1)N(=O)=O)N(=O)=O)N(=O)=O,COC1=CC=C(C=C1)C(O)C(=O)C1=CC=C(OC)C=C1,COC1=CC=C(C=C1)C(O)C(=O)C1=CC=C(OC)C=C1>>COC1=C(C=C(C=C1N(=O)=O)C(=O)C(=O)C1=CC(=C(OC)C(=C1)N(=O)=O)N(=O)=O)N(=O)=O
[N-]1N=NN=N1,O.[Mg++].[O-][N+]([O-])=O.[H+].N.O.[Cl-].[N-]1N=NN=N1.[H]O[H],O.[Mg++].[O-][N+]([O-])=O.[H+].N.O.[Cl-].[N-]1N=NN=N1.[H]O[H]>>[N-]1N=NN=N1
CC1=NC(CCCN)=CN1,O=C(CCCN1C(=O)C2=C(C=CC=C2)C1=O)C=[N]#N,O=C(CCCN1C(=O)C2=C(C=CC=C2)C1=O)C=[N]#N>>CC1=NC(CCCN)=CN1
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,O=C(CCCN1C(=O)C2=C(C=CC=C2)C1=O)C=[N]#N,O=C(CCCN1C(=O)C2=C(C=CC=C2)C1=O)C=[N]#N>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
N#CC1=CC=CC=C1,CO.[OH2][Co++]123([OH2])[O]=C([CH-]C(=[O]1)C1=CC=CC=C1)C1=CC=CC=C1.[CH-](C(=[O]2)C1=CC=CC=C1)C(=[O]3)C1=CC=CC=C1.C1=CC(=CN=C1)C1=CC(=NC(=C1)C1=CC=NC=C1)C1=CC=NC=C1.N#CC1=CC=CC=C1.O=N(=O)C1=CC=CC=C1,CO.[OH2][Co++]123([OH2])[O]=C([CH-]C(=[O]1)C1=CC=CC=C1)C1=CC=CC=C1.[CH-](C(=[O]2)C1=CC=CC=C1)C(=[O]3)C1=CC=CC=C1.C1=CC(=CN=C1)C1=CC(=NC(=C1)C1=CC=NC=C1)C1=CC=NC=C1.N#CC1=CC=CC=C1.O=N(=O)C1=CC=CC=C1>>N#CC1=CC=CC=C1
O=N(=O)C1=CC=CC=C1,CO.[OH2][Co++]123([OH2])[O]=C([CH-]C(=[O]1)C1=CC=CC=C1)C1=CC=CC=C1.[CH-](C(=[O]2)C1=CC=CC=C1)C(=[O]3)C1=CC=CC=C1.C1=CC(=CN=C1)C1=CC(=NC(=C1)C1=CC=NC=C1)C1=CC=NC=C1.N#CC1=CC=CC=C1.O=N(=O)C1=CC=CC=C1,CO.[OH2][Co++]123([OH2])[O]=C([CH-]C(=[O]1)C1=CC=CC=C1)C1=CC=CC=C1.[CH-](C(=[O]2)C1=CC=CC=C1)C(=[O]3)C1=CC=CC=C1.C1=CC(=CN=C1)C1=CC(=NC(=C1)C1=CC=NC=C1)C1=CC=NC=C1.N#CC1=CC=CC=C1.O=N(=O)C1=CC=CC=C1>>O=N(=O)C1=CC=CC=C1
[O-]C(=CC(=O)C1=CC=CC=C1)C1=CC=CC=C1,CO.[OH2][Co++]123([OH2])[O]=C([CH-]C(=[O]1)C1=CC=CC=C1)C1=CC=CC=C1.[CH-](C(=[O]2)C1=CC=CC=C1)C(=[O]3)C1=CC=CC=C1.C1=CC(=CN=C1)C1=CC(=NC(=C1)C1=CC=NC=C1)C1=CC=NC=C1.N#CC1=CC=CC=C1.O=N(=O)C1=CC=CC=C1,CO.[OH2][Co++]123([OH2])[O]=C([CH-]C(=[O]1)C1=CC=CC=C1)C1=CC=CC=C1.[CH-](C(=[O]2)C1=CC=CC=C1)C(=[O]3)C1=CC=CC=C1.C1=CC(=CN=C1)C1=CC(=NC(=C1)C1=CC=NC=C1)C1=CC=NC=C1.N#CC1=CC=CC=C1.O=N(=O)C1=CC=CC=C1>>[O-]C(=CC(=O)C1=CC=CC=C1)C1=CC=CC=C1
C1=CN=CC(=C1)C1=CC(=NC(=C1)C1=CC=NC=C1)C1=CC=NC=C1,CO.[OH2][Co++]123([OH2])[O]=C([CH-]C(=[O]1)C1=CC=CC=C1)C1=CC=CC=C1.[CH-](C(=[O]2)C1=CC=CC=C1)C(=[O]3)C1=CC=CC=C1.C1=CC(=CN=C1)C1=CC(=NC(=C1)C1=CC=NC=C1)C1=CC=NC=C1.N#CC1=CC=CC=C1.O=N(=O)C1=CC=CC=C1,CO.[OH2][Co++]123([OH2])[O]=C([CH-]C(=[O]1)C1=CC=CC=C1)C1=CC=CC=C1.[CH-](C(=[O]2)C1=CC=CC=C1)C(=[O]3)C1=CC=CC=C1.C1=CC(=CN=C1)C1=CC(=NC(=C1)C1=CC=NC=C1)C1=CC=NC=C1.N#CC1=CC=CC=C1.O=N(=O)C1=CC=CC=C1>>C1=CN=CC(=C1)C1=CC(=NC(=C1)C1=CC=NC=C1)C1=CC=NC=C1
O=N(=O)C1=CC=CC=C1,CC(C)N(CCCCO)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1,CC(C)N(CCCCO)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1>>O=N(=O)C1=CC=CC=C1
CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=CN=C(C2=CC=CC=C2)C(=N1)C1=CC=CC=C1,CC(C)N(CCCCO)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1,CC(C)N(CCCCO)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1>>CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=CN=C(C2=CC=CC=C2)C(=N1)C1=CC=CC=C1
[Fe++]123456789[C]%10([H])=[C]1([H])[C@-]2([H])[C]3(C[N+](CCCC)(C)C)=[C]4%10[H],[Fe]123456789[C]%10(=[C]1([C]2(=[C]3(C4%10[H])[H])[H])[H])[H].CCCC[N+](C)(C)C[C@@]51[C]6(=[C]7([C]8(=[C]91[H])[H])[H])[H].[I-].[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Fe]123456789[C]%10(=[C]1([C]2(=[C]3(C4%10[H])[H])[H])[H])[H].CCCC[N+](C)(C)C[C@@]51[C]6(=[C]7([C]8(=[C]91[H])[H])[H])[H].[I-].[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[Fe++]123456789[C]%10([H])=[C]1([H])[C@-]2([H])[C]3(C[N+](CCCC)(C)C)=[C]4%10[H]
C1(=C(C=C(N(=O)=O)C=C1N(=O)=O)N(=O)=O)[O-],[Fe]123456789[C]%10(=[C]1([C]2(=[C]3(C4%10[H])[H])[H])[H])[H].CCCC[N+](C)(C)C[C@@]51[C]6(=[C]7([C]8(=[C]91[H])[H])[H])[H].[I-].[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Fe]123456789[C]%10(=[C]1([C]2(=[C]3(C4%10[H])[H])[H])[H])[H].CCCC[N+](C)(C)C[C@@]51[C]6(=[C]7([C]8(=[C]91[H])[H])[H])[H].[I-].[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>C1(=C(C=C(N(=O)=O)C=C1N(=O)=O)N(=O)=O)[O-]
[H][C]51=[C]6([C@@-]7([H])[C]8(=[C]91[H])[H])[H],[Fe]123456789[C]%10(=[C]1([C]2(=[C]3(C4%10[H])[H])[H])[H])[H].CCCC[N+](C)(C)C[C@@]51[C]6(=[C]7([C]8(=[C]91[H])[H])[H])[H].[I-].[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Fe]123456789[C]%10(=[C]1([C]2(=[C]3(C4%10[H])[H])[H])[H])[H].CCCC[N+](C)(C)C[C@@]51[C]6(=[C]7([C]8(=[C]91[H])[H])[H])[H].[I-].[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[H][C]51=[C]6([C@@-]7([H])[C]8(=[C]91[H])[H])[H]
O=N(=O)C1=CC=CC=C1,C1COC2=CC=CC=C2OC2=CC3=C(C=CC=C3)C=C2OC2=CC=CC=C2OCCOCC2=NC(CO1)=CC=C2.O=N(=O)C1=CC=CC=C1,C1COC2=CC=CC=C2OC2=CC3=C(C=CC=C3)C=C2OC2=CC=CC=C2OCCOCC2=NC(CO1)=CC=C2.O=N(=O)C1=CC=CC=C1>>O=N(=O)C1=CC=CC=C1
C1COC2=CC=CC=C2OC2=CC3=C(C=CC=C3)C=C2OC2=CC=CC=C2OCCOCC2=NC(CO1)=CC=C2,C1COC2=CC=CC=C2OC2=CC3=C(C=CC=C3)C=C2OC2=CC=CC=C2OCCOCC2=NC(CO1)=CC=C2.O=N(=O)C1=CC=CC=C1,C1COC2=CC=CC=C2OC2=CC3=C(C=CC=C3)C=C2OC2=CC=CC=C2OCCOCC2=NC(CO1)=CC=C2.O=N(=O)C1=CC=CC=C1>>C1COC2=CC=CC=C2OC2=CC3=C(C=CC=C3)C=C2OC2=CC=CC=C2OCCOCC2=NC(CO1)=CC=C2
OC1=C(C=C(C([O-])=C1N(=O)=O)N(=O)=O)N(=O)=O,N1C=NC(=N1)N1C=NN=C1.Cl.Cl.[Cd].[H]O[H].OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,N1C=NC(=N1)N1C=NN=C1.Cl.Cl.[Cd].[H]O[H].OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>OC1=C(C=C(C([O-])=C1N(=O)=O)N(=O)=O)N(=O)=O
[OH2][Cd++]([OH2])([OH2])([OH2])([N]1=CN(C=N1)C1=NNC=N1)[N]1=CN(C=N1)C1=NNC=N1,N1C=NC(=N1)N1C=NN=C1.Cl.Cl.[Cd].[H]O[H].OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,N1C=NC(=N1)N1C=NN=C1.Cl.Cl.[Cd].[H]O[H].OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>[OH2][Cd++]([OH2])([OH2])([OH2])([N]1=CN(C=N1)C1=NNC=N1)[N]1=CN(C=N1)C1=NNC=N1
OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,OC1=CC(O)=CC=C1.CC(C)CCON=O,OC1=CC(O)=CC=C1.CC(C)CCON=O>>OC1=C(C(O)=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.COC1=C2C=C(C)C=C1C1=CC(C)=CC3=C1OCCOCCOC1=C2C=C(C)C=C1C1=C2OCCOCCOC4=C(C=C(C)C=C34)C3=C(OC)C(=CC(C)=C3)C2=CC(C)=C1,[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.COC1=C2C=C(C)C=C1C1=CC(C)=CC3=C1OCCOCCOC1=C2C=C(C)C=C1C1=C2OCCOCCOC4=C(C=C(C)C=C34)C3=C(OC)C(=CC(C)=C3)C2=CC(C)=C1>>[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
COC1=C2C=C(C)C=C1C1=CC(C)=CC3=C1OCCOCCOC1=C(C=C(C)C=C21)C1=C2OCCOCCOC4=C3C=C(C)C=C4C3=C(OC)C(=CC(C)=C3)C2=CC(C)=C1,[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.COC1=C2C=C(C)C=C1C1=CC(C)=CC3=C1OCCOCCOC1=C2C=C(C)C=C1C1=C2OCCOCCOC4=C(C=C(C)C=C34)C3=C(OC)C(=CC(C)=C3)C2=CC(C)=C1,[Na+].[O-]C1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.COC1=C2C=C(C)C=C1C1=CC(C)=CC3=C1OCCOCCOC1=C2C=C(C)C=C1C1=C2OCCOCCOC4=C(C=C(C)C=C34)C3=C(OC)C(=CC(C)=C3)C2=CC(C)=C1>>COC1=C2C=C(C)C=C1C1=CC(C)=CC3=C1OCCOCCOC1=C(C=C(C)C=C21)C1=C2OCCOCCOC4=C3C=C(C)C=C4C3=C(OC)C(=CC(C)=C3)C2=CC(C)=C1
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,C1CO[P]234(O1)OC1=C(C=CC=C1)C2NC1CCCCC1[N]3=CC1=CC=CC=C1O4.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,C1CO[P]234(O1)OC1=C(C=CC=C1)C2NC1CCCCC1[N]3=CC1=CC=CC=C1O4.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
C1CO[P]234(O1)OC1=CC=CC=C1C2NC1CCCCC1[N]3=CC1=CC=CC=C1O4,C1CO[P]234(O1)OC1=C(C=CC=C1)C2NC1CCCCC1[N]3=CC1=CC=CC=C1O4.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,C1CO[P]234(O1)OC1=C(C=CC=C1)C2NC1CCCCC1[N]3=CC1=CC=CC=C1O4.OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O>>C1CO[P]234(O1)OC1=CC=CC=C1C2NC1CCCCC1[N]3=CC1=CC=CC=C1O4
CCC1=CC(CC)=N(=O)C(CC)=C1,CCC(C)(C)Cl,CCC(C)(C)Cl>>CCC1=CC(CC)=N(=O)C(CC)=C1
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,CCC(C)(C)Cl,CCC(C)(C)Cl>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
C1=CC=NC=C1,CO.[Cl-].O=N(=O)C1=CC(=C(C=C1)[N+]1=CC=CC=C1)N(=O)=O,CO.[Cl-].O=N(=O)C1=CC(=C(C=C1)[N+]1=CC=CC=C1)N(=O)=O>>C1=CC=NC=C1
COC1=C(C=C(C=C1)N(=O)=O)N(=O)=O,CO.[Cl-].O=N(=O)C1=CC(=C(C=C1)[N+]1=CC=CC=C1)N(=O)=O,CO.[Cl-].O=N(=O)C1=CC(=C(C=C1)[N+]1=CC=CC=C1)N(=O)=O>>COC1=C(C=C(C=C1)N(=O)=O)N(=O)=O
ClC1=CC=C(C=C1N(=O)=O)N(=O)=O,CO.[Cl-].O=N(=O)C1=CC(=C(C=C1)[N+]1=CC=CC=C1)N(=O)=O,CO.[Cl-].O=N(=O)C1=CC(=C(C=C1)[N+]1=CC=CC=C1)N(=O)=O>>ClC1=CC=C(C=C1N(=O)=O)N(=O)=O
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.CN1N=NS\C1=N/CC1=CC=CC=C1C#CC1=CC=CC=C1,OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O.CN1N=NS\C1=N/CC1=CC=CC=C1C#CC1=CC=CC=C1>>OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O
