nohup: ignoring input
Starting......
total length:  5000
( 120  /  5000 )...... Spent time: 8.710293054580688
( 121  /  5000 )...... Spent time: 4.702199220657349
( 122  /  5000 )...... Spent time: 5.68985390663147
( 123  /  5000 )...... Spent time: 4.1781580448150635
( 124  /  5000 )...... Spent time: 4.709899187088013
( 125  /  5000 )...... Spent time: 5.362034559249878
( 126  /  5000 )...... Spent time: 5.852925539016724
( 127  /  5000 )...... Spent time: 6.222992897033691
( 128  /  5000 )...... Spent time: 7.168815612792969
( 129  /  5000 )...... Spent time: 4.408648252487183
( 130  /  5000 )...... Spent time: 4.734003782272339
( 131  /  5000 )...... Spent time: 5.008635759353638
( 132  /  5000 )...... Spent time: 4.43856954574585
( 133  /  5000 )...... Spent time: 6.386365175247192
( 134  /  5000 )...... Spent time: 4.750505685806274
( 135  /  5000 )...... Spent time: 4.143805027008057
( 136  /  5000 )...... Spent time: 5.086971998214722
( 137  /  5000 )...... Spent time: 5.341827630996704
( 138  /  5000 )...... Spent time: 6.615556955337524
( 139  /  5000 )...... Spent time: 6.453551769256592
( 140  /  5000 )...... Spent time: 4.203418493270874
( 141  /  5000 )...... Spent time: 6.176626443862915
( 142  /  5000 )...... Spent time: 4.89704155921936
( 143  /  5000 )...... Spent time: 10.862460613250732
( 144  /  5000 )...... Spent time: 4.888464450836182
( 145  /  5000 )...... Spent time: 4.310672044754028
( 146  /  5000 )...... Spent time: 6.420651197433472
( 147  /  5000 )...... Spent time: 5.873902797698975
( 148  /  5000 )...... Spent time: 4.457476615905762
( 149  /  5000 )...... Spent time: 5.755869150161743
( 150  /  5000 )...... Spent time: 7.267178058624268
( 151  /  5000 )...... Spent time: 7.259967565536499
( 152  /  5000 )...... Spent time: 4.401212453842163
( 153  /  5000 )...... Spent time: 4.954213619232178
( 154  /  5000 )...... Spent time: 5.9307262897491455
( 155  /  5000 )...... Spent time: 9.645804166793823
( 156  /  5000 )...... Spent time: 6.460345983505249
( 157  /  5000 )...... Spent time: 5.766100168228149
( 158  /  5000 )...... Spent time: 5.907703638076782
( 159  /  5000 )...... Spent time: 7.433635950088501
( 160  /  5000 )...... Spent time: 5.19195556640625
( 161  /  5000 )...... Spent time: 5.89145827293396
( 162  /  5000 )...... Spent time: 4.682982444763184
( 163  /  5000 )...... Spent time: 4.841960191726685
( 164  /  5000 )...... Spent time: 5.899899005889893
( 165  /  5000 )...... Spent time: 5.956185817718506
( 166  /  5000 )...... Spent time: 6.364403963088989
( 167  /  5000 )...... Spent time: 6.967658519744873
( 168  /  5000 )...... Spent time: 5.74892258644104
( 169  /  5000 )...... Spent time: 6.782039642333984
( 170  /  5000 )...... Spent time: 6.683551549911499
( 171  /  5000 )...... Spent time: 5.640575647354126
( 172  /  5000 )...... Spent time: 6.478483200073242
( 173  /  5000 )...... Spent time: 7.3548219203948975
( 174  /  5000 )...... Spent time: 4.136754035949707
( 175  /  5000 )...... Spent time: 5.033529281616211
( 176  /  5000 )...... Spent time: 7.621065378189087
( 177  /  5000 )...... Spent time: 7.005079984664917
( 178  /  5000 )...... Spent time: 4.157710075378418
( 179  /  5000 )...... Spent time: 10.297561645507812
( 180  /  5000 )...... Spent time: 4.409882068634033
( 181  /  5000 )...... Spent time: 5.058605194091797
( 182  /  5000 )...... Spent time: 4.819066762924194
( 183  /  5000 )...... Spent time: 7.795276880264282
( 184  /  5000 )...... Spent time: 4.76335597038269
( 185  /  5000 )...... Spent time: 6.8105528354644775
( 186  /  5000 )...... Spent time: 7.181192874908447
( 187  /  5000 )...... Spent time: 5.611165761947632
( 188  /  5000 )...... Spent time: 5.320041656494141
( 189  /  5000 )...... Spent time: 4.765397548675537
( 190  /  5000 )...... Spent time: 5.788764953613281
( 191  /  5000 )...... Spent time: 5.300331354141235
( 192  /  5000 )...... Spent time: 7.08886981010437
( 193  /  5000 )...... Spent time: 5.231661558151245
( 194  /  5000 )...... Spent time: 5.098646402359009
( 195  /  5000 )...... Spent time: 4.968765497207642
( 196  /  5000 )...... Spent time: 4.598379373550415
( 197  /  5000 )...... Spent time: 7.163526773452759
( 198  /  5000 )...... Spent time: 5.527734279632568
( 199  /  5000 )...... Spent time: 6.066688776016235
( 200  /  5000 )...... Spent time: 6.264973878860474
( 201  /  5000 )...... Spent time: 5.42611289024353
( 202  /  5000 )...... Spent time: 5.69672703742981
( 203  /  5000 )...... Spent time: 5.802334547042847
( 204  /  5000 )...... Spent time: 4.9928131103515625
( 205  /  5000 )...... Spent time: 4.688456773757935
( 206  /  5000 )...... Spent time: 4.166260719299316
( 207  /  5000 )...... Spent time: 5.4848854541778564
( 208  /  5000 )...... Spent time: 5.197948694229126
( 209  /  5000 )...... Spent time: 4.249485731124878
( 210  /  5000 )...... Spent time: 6.639925003051758
( 211  /  5000 )...... Spent time: 6.964270830154419
( 212  /  5000 )...... Spent time: 7.077784776687622
( 213  /  5000 )...... Spent time: 5.6726975440979
( 214  /  5000 )...... Spent time: 7.138132572174072
( 215  /  5000 )...... Spent time: 6.706843614578247
( 216  /  5000 )...... Spent time: 4.673842191696167
( 217  /  5000 )...... Spent time: 4.437418699264526
( 218  /  5000 )...... Spent time: 4.659448146820068
( 219  /  5000 )...... Spent time: 7.309284210205078
( 220  /  5000 )...... Spent time: 5.446757078170776
( 221  /  5000 )...... Spent time: 4.495770692825317
( 222  /  5000 )...... Spent time: 6.308140993118286
( 223  /  5000 )...... Spent time: 6.124980926513672
( 224  /  5000 )...... Spent time: 4.327773094177246
( 225  /  5000 )...... Spent time: 4.569200038909912
( 226  /  5000 )...... Spent time: 5.373615741729736
( 227  /  5000 )...... Spent time: 5.811121225357056
( 228  /  5000 )...... Spent time: 5.4858245849609375
( 229  /  5000 )...... Spent time: 4.619291067123413
( 230  /  5000 )...... Spent time: 4.039978742599487
( 231  /  5000 )...... Spent time: 7.188700437545776
( 232  /  5000 )...... Spent time: 8.147479057312012
( 233  /  5000 )...... Spent time: 6.274542808532715
( 234  /  5000 )...... Spent time: 6.057648420333862
( 235  /  5000 )...... Spent time: 4.343863487243652
( 236  /  5000 )...... Spent time: 6.482920408248901
( 237  /  5000 )...... Spent time: 4.417465448379517
( 238  /  5000 )...... Spent time: 4.966937780380249
( 239  /  5000 )...... Spent time: 5.499665021896362
( 240  /  5000 )...... Spent time: 4.195553779602051
( 241  /  5000 )...... Spent time: 6.1515116691589355
( 242  /  5000 )...... Spent time: 5.919523000717163
( 243  /  5000 )...... Spent time: 6.211944818496704
( 244  /  5000 )...... Spent time: 4.464207887649536
( 245  /  5000 )...... Spent time: 4.990339040756226
( 246  /  5000 )...... Spent time: 6.15727972984314
( 247  /  5000 )...... Spent time: 6.0607757568359375
( 248  /  5000 )...... Spent time: 4.660820007324219
( 249  /  5000 )...... Spent time: 7.75571084022522
( 250  /  5000 )...... Spent time: 6.167020082473755
( 251  /  5000 )...... Spent time: 6.320129632949829
5 %,  mean_accuracy: [0.41434263 0.51394422 0.55776892 0.61354582 0.64143426 0.66533865
 0.68525896 0.70119522 0.72111554 0.72111554 0.7250996  0.73306773
 0.74103586 0.74501992 0.74900398 0.76494024 0.7689243  0.77689243
 0.78087649 0.78087649]
( 252  /  5000 )...... Spent time: 5.221430063247681
( 253  /  5000 )...... Spent time: 4.513631582260132
( 254  /  5000 )...... Spent time: 4.934003114700317
( 255  /  5000 )...... Spent time: 5.347689867019653
( 256  /  5000 )...... Spent time: 6.542191743850708
( 257  /  5000 )...... Spent time: 4.656373977661133
( 258  /  5000 )...... Spent time: 5.730533123016357
( 259  /  5000 )...... Spent time: 8.340975999832153
( 260  /  5000 )...... Spent time: 4.505655527114868
( 261  /  5000 )...... Spent time: 6.242271184921265
( 262  /  5000 )...... Spent time: 7.712488889694214
( 263  /  5000 )...... Spent time: 5.9258880615234375
( 264  /  5000 )...... Spent time: 5.576700448989868
( 265  /  5000 )...... Spent time: 7.680111646652222
( 266  /  5000 )...... Spent time: 4.297102212905884
( 267  /  5000 )...... Spent time: 6.907541751861572
( 268  /  5000 )...... Spent time: 8.450043201446533
( 269  /  5000 )...... Spent time: 6.466463327407837
( 270  /  5000 )...... Spent time: 5.120493173599243
( 271  /  5000 )...... Spent time: 6.082757472991943
( 272  /  5000 )...... Spent time: 7.056482553482056
( 273  /  5000 )...... Spent time: 6.912275075912476
( 274  /  5000 )...... Spent time: 7.234131574630737
( 275  /  5000 )...... Spent time: 5.37235426902771
( 276  /  5000 )...... Spent time: 4.346707344055176
( 277  /  5000 )...... Spent time: 4.840066909790039
( 278  /  5000 )...... Spent time: 7.316991090774536
( 279  /  5000 )...... Spent time: 4.37923002243042
( 280  /  5000 )...... Spent time: 4.164680480957031
( 281  /  5000 )...... Spent time: 6.565915107727051
( 282  /  5000 )...... Spent time: 5.4373860359191895
( 283  /  5000 )...... Spent time: 4.065272808074951
( 284  /  5000 )...... Spent time: 5.013884544372559
( 285  /  5000 )...... Spent time: 6.19330906867981
( 286  /  5000 )...... Spent time: 5.497575044631958
( 287  /  5000 )...... Spent time: 4.387477159500122
( 288  /  5000 )...... Spent time: 8.000223636627197
( 289  /  5000 )...... Spent time: 6.227808475494385
( 290  /  5000 )...... Spent time: 4.859186172485352
( 291  /  5000 )...... Spent time: 5.40876030921936
( 292  /  5000 )...... Spent time: 6.770866632461548
( 293  /  5000 )...... Spent time: 4.971062660217285
( 294  /  5000 )...... Spent time: 4.716323375701904
( 295  /  5000 )...... Spent time: 4.435816049575806
( 296  /  5000 )...... Spent time: 4.252681255340576
( 297  /  5000 )...... Spent time: 6.184255599975586
( 298  /  5000 )...... Spent time: 5.690836191177368
( 299  /  5000 )...... Spent time: 4.620963096618652
( 300  /  5000 )...... Spent time: 4.154519319534302
( 301  /  5000 )...... Spent time: 7.355983257293701
( 302  /  5000 )...... Spent time: 6.309284687042236
( 303  /  5000 )...... Spent time: 7.593302249908447
( 304  /  5000 )...... Spent time: 4.425316095352173
( 305  /  5000 )...... Spent time: 4.55370831489563
( 306  /  5000 )...... Spent time: 6.8086097240448
( 307  /  5000 )...... Spent time: 6.554132461547852
( 308  /  5000 )...... Spent time: 4.070276260375977
( 309  /  5000 )...... Spent time: 4.902061700820923
( 310  /  5000 )...... Spent time: 7.532783269882202
( 311  /  5000 )...... Spent time: 5.54929518699646
( 312  /  5000 )...... Spent time: 4.557750701904297
( 313  /  5000 )...... Spent time: 6.507494211196899
( 314  /  5000 )...... Spent time: 4.87454080581665
( 315  /  5000 )...... Spent time: 4.204433917999268
( 316  /  5000 )...... Spent time: 7.7184576988220215
( 317  /  5000 )...... Spent time: 5.938304424285889
( 318  /  5000 )...... Spent time: 4.85250186920166
( 319  /  5000 )...... Spent time: 6.48703932762146
( 320  /  5000 )...... Spent time: 5.580214500427246
( 321  /  5000 )...... Spent time: 6.493747711181641
( 322  /  5000 )...... Spent time: 8.013901710510254
( 323  /  5000 )...... Spent time: 4.990190744400024
( 324  /  5000 )...... Spent time: 6.851227045059204
( 325  /  5000 )...... Spent time: 4.155335426330566
( 326  /  5000 )...... Spent time: 7.764943361282349
( 327  /  5000 )...... Spent time: 6.829706192016602
( 328  /  5000 )...... Spent time: 4.143566846847534
( 329  /  5000 )...... Spent time: 4.501726388931274
( 330  /  5000 )...... Spent time: 5.668053150177002
( 331  /  5000 )...... Spent time: 4.388844966888428
( 332  /  5000 )...... Spent time: 5.304727792739868
( 333  /  5000 )...... Spent time: 6.174549102783203
( 334  /  5000 )...... Spent time: 5.941996812820435
( 335  /  5000 )...... Spent time: 6.050107479095459
( 336  /  5000 )...... Spent time: 4.982915163040161
( 337  /  5000 )...... Spent time: 9.009521245956421
( 338  /  5000 )...... Spent time: 7.019928693771362
( 339  /  5000 )...... Spent time: 6.079092741012573
( 340  /  5000 )...... Spent time: 4.899815559387207
( 341  /  5000 )...... Spent time: 8.118439435958862
( 342  /  5000 )...... Spent time: 7.459646224975586
( 343  /  5000 )...... Spent time: 4.459831476211548
( 344  /  5000 )...... Spent time: 7.8450987339019775
( 345  /  5000 )...... Spent time: 6.290566921234131
( 346  /  5000 )...... Spent time: 5.008227109909058
( 347  /  5000 )...... Spent time: 7.253312826156616
( 348  /  5000 )...... Spent time: 4.093535661697388
( 349  /  5000 )...... Spent time: 4.929485559463501
( 350  /  5000 )...... Spent time: 6.2852513790130615
( 351  /  5000 )...... Spent time: 5.347181797027588
( 352  /  5000 )...... Spent time: 5.052612543106079
( 353  /  5000 )...... Spent time: 4.375589847564697
( 354  /  5000 )...... Spent time: 4.303229570388794
( 355  /  5000 )...... Spent time: 5.1336140632629395
( 356  /  5000 )...... Spent time: 6.5229103565216064
( 357  /  5000 )...... Spent time: 6.201565265655518
( 358  /  5000 )...... Spent time: 4.97848105430603
( 359  /  5000 )...... Spent time: 6.888897180557251
( 360  /  5000 )...... Spent time: 4.876267671585083
( 361  /  5000 )...... Spent time: 5.858871698379517
( 362  /  5000 )...... Spent time: 5.166849613189697
( 363  /  5000 )...... Spent time: 4.236802577972412
