nohup: ignoring input
Starting......
total length:  5000
( 1  /  5000 )...... Spent time: 64.87107038497925
0 %,  accuracy: [0]
( 2  /  5000 )...... Spent time: 5.45116925239563
( 3  /  5000 )...... Spent time: 4.199956655502319
( 4  /  5000 )...... Spent time: 4.0077126026153564
( 5  /  5000 )...... Spent time: 5.717550277709961
( 6  /  5000 )...... Spent time: 4.613967418670654
( 7  /  5000 )...... Spent time: 4.551166534423828
( 8  /  5000 )...... Spent time: 5.566701650619507
( 9  /  5000 )...... Spent time: 5.083810329437256
( 10  /  5000 )...... Spent time: 5.15988564491272
( 11  /  5000 )...... Spent time: 5.279285669326782
( 12  /  5000 )...... Spent time: 6.491852045059204
( 13  /  5000 )...... Spent time: 5.495829105377197
( 14  /  5000 )...... Spent time: 5.719206809997559
( 15  /  5000 )...... Spent time: 4.650209426879883
( 16  /  5000 )...... Spent time: 7.413508892059326
( 17  /  5000 )...... Spent time: 5.776334524154663
( 18  /  5000 )...... Spent time: 5.0690343379974365
( 19  /  5000 )...... Spent time: 6.322734832763672
( 20  /  5000 )...... Spent time: 3.7625129222869873
( 21  /  5000 )...... Spent time: 6.670956373214722
( 22  /  5000 )...... Spent time: 7.680153846740723
( 23  /  5000 )...... Spent time: 6.165710687637329
( 24  /  5000 )...... Spent time: 4.091424942016602
( 25  /  5000 )...... Spent time: 3.60001802444458
( 26  /  5000 )...... Spent time: 6.86426305770874
( 27  /  5000 )...... Spent time: 4.49785852432251
( 28  /  5000 )...... Spent time: 7.236945152282715
( 29  /  5000 )...... Spent time: 5.316323280334473
( 30  /  5000 )...... Spent time: 4.59696626663208
( 31  /  5000 )...... Spent time: 3.9423792362213135
( 32  /  5000 )...... Spent time: 7.221859693527222
( 33  /  5000 )...... Spent time: 5.274730682373047
( 34  /  5000 )...... Spent time: 4.913204669952393
( 35  /  5000 )...... Spent time: 6.799152135848999
( 36  /  5000 )...... Spent time: 4.247480869293213
( 37  /  5000 )...... Spent time: 4.481851577758789
( 38  /  5000 )...... Spent time: 3.7804741859436035
( 39  /  5000 )...... Spent time: 6.981517553329468
( 40  /  5000 )...... Spent time: 4.692407846450806
( 41  /  5000 )...... Spent time: 5.402459144592285
( 42  /  5000 )...... Spent time: 3.513991594314575
( 43  /  5000 )...... Spent time: 4.057128667831421
( 44  /  5000 )...... Spent time: 6.714109420776367
( 45  /  5000 )...... Spent time: 5.78242039680481
( 46  /  5000 )...... Spent time: 4.173346042633057
( 47  /  5000 )...... Spent time: 5.727381229400635
( 48  /  5000 )...... Spent time: 6.007014751434326
( 49  /  5000 )...... Spent time: 5.9351701736450195
( 50  /  5000 )...... Spent time: 7.59000825881958
( 51  /  5000 )...... Spent time: 5.312049865722656
( 52  /  5000 )...... Spent time: 5.059605121612549
( 53  /  5000 )...... Spent time: 5.369056463241577
( 54  /  5000 )...... Spent time: 5.1731696128845215
( 55  /  5000 )...... Spent time: 5.1976025104522705
( 56  /  5000 )...... Spent time: 4.418421268463135
( 57  /  5000 )...... Spent time: 5.385089635848999
( 58  /  5000 )...... Spent time: 4.879830598831177
( 59  /  5000 )...... Spent time: 4.186535120010376
( 60  /  5000 )...... Spent time: 4.0679755210876465
( 61  /  5000 )...... Spent time: 5.597935438156128
( 62  /  5000 )...... Spent time: 5.353065490722656
( 63  /  5000 )...... Spent time: 4.73246693611145
( 64  /  5000 )...... Spent time: 4.019906759262085
( 65  /  5000 )...... Spent time: 3.7373461723327637
( 66  /  5000 )...... Spent time: 7.176896333694458
( 67  /  5000 )...... Spent time: 4.739288806915283
( 68  /  5000 )...... Spent time: 5.491023778915405
( 69  /  5000 )...... Spent time: 6.5712034702301025
( 70  /  5000 )...... Spent time: 4.1233930587768555
( 71  /  5000 )...... Spent time: 5.8617472648620605
( 72  /  5000 )...... Spent time: 3.7687296867370605
( 73  /  5000 )...... Spent time: 7.159891128540039
( 74  /  5000 )...... Spent time: 6.199134588241577
( 75  /  5000 )...... Spent time: 6.661860227584839
( 76  /  5000 )...... Spent time: 4.999976873397827
( 77  /  5000 )...... Spent time: 4.0872581005096436
( 78  /  5000 )...... Spent time: 4.126757383346558
( 79  /  5000 )...... Spent time: 5.801454067230225
( 80  /  5000 )...... Spent time: 4.513780832290649
( 81  /  5000 )...... Spent time: 5.90253758430481
( 82  /  5000 )...... Spent time: 5.3942296504974365
( 83  /  5000 )...... Spent time: 4.8724610805511475
( 84  /  5000 )...... Spent time: 3.6119821071624756
( 85  /  5000 )...... Spent time: 4.527949333190918
( 86  /  5000 )...... Spent time: 8.28634524345398
( 87  /  5000 )...... Spent time: 5.411454200744629
( 88  /  5000 )...... Spent time: 5.772987365722656
( 89  /  5000 )...... Spent time: 5.148590326309204
( 90  /  5000 )...... Spent time: 5.679726839065552
( 91  /  5000 )...... Spent time: 4.157150745391846
( 92  /  5000 )...... Spent time: 3.4739840030670166
( 93  /  5000 )...... Spent time: 4.412040948867798
( 94  /  5000 )...... Spent time: 7.150562047958374
( 95  /  5000 )...... Spent time: 4.257264852523804
( 96  /  5000 )...... Spent time: 4.752381801605225
( 97  /  5000 )...... Spent time: 4.71853232383728
( 98  /  5000 )...... Spent time: 5.307525157928467
( 99  /  5000 )...... Spent time: 5.205370187759399
( 100  /  5000 )...... Spent time: 5.262800931930542
( 101  /  5000 )...... Spent time: 5.422553777694702
( 102  /  5000 )...... Spent time: 4.110424518585205
( 103  /  5000 )...... Spent time: 5.405971050262451
( 104  /  5000 )...... Spent time: 3.6262247562408447
( 105  /  5000 )...... Spent time: 3.9113614559173584
( 106  /  5000 )...... Spent time: 4.604658126831055
( 107  /  5000 )...... Spent time: 5.8066253662109375
( 108  /  5000 )...... Spent time: 3.7111427783966064
( 109  /  5000 )...... Spent time: 6.239420652389526
( 110  /  5000 )...... Spent time: 4.508040189743042
( 111  /  5000 )...... Spent time: 6.424525737762451
( 112  /  5000 )...... Spent time: 5.4766740798950195
( 113  /  5000 )...... Spent time: 3.788931369781494
( 114  /  5000 )...... Spent time: 7.213420629501343
( 115  /  5000 )...... Spent time: 3.9254391193389893
( 116  /  5000 )...... Spent time: 10.651218891143799
( 117  /  5000 )...... Spent time: 4.8564841747283936
( 118  /  5000 )...... Spent time: 5.417035818099976
( 119  /  5000 )...... Spent time: 4.8157713413238525
( 120  /  5000 )...... Spent time: 7.28606653213501
( 121  /  5000 )...... Spent time: 4.1376824378967285
( 122  /  5000 )...... Spent time: 4.987773656845093
( 123  /  5000 )...... Spent time: 3.8772881031036377
( 124  /  5000 )...... Spent time: 4.196558713912964
( 125  /  5000 )...... Spent time: 4.799499034881592
( 126  /  5000 )...... Spent time: 4.984983205795288
( 127  /  5000 )...... Spent time: 5.482964754104614
( 128  /  5000 )...... Spent time: 6.1479713916778564
( 129  /  5000 )...... Spent time: 3.8713488578796387
( 130  /  5000 )...... Spent time: 4.285593509674072
( 131  /  5000 )...... Spent time: 4.350676774978638
( 132  /  5000 )...... Spent time: 3.802410125732422
( 133  /  5000 )...... Spent time: 5.504350900650024
( 134  /  5000 )...... Spent time: 4.279459714889526
( 135  /  5000 )...... Spent time: 3.6083593368530273
( 136  /  5000 )...... Spent time: 4.623572111129761
( 137  /  5000 )...... Spent time: 4.726163864135742
( 138  /  5000 )...... Spent time: 5.717635154724121
( 139  /  5000 )...... Spent time: 5.767359256744385
( 140  /  5000 )...... Spent time: 3.7098701000213623
( 141  /  5000 )...... Spent time: 5.403839588165283
( 142  /  5000 )...... Spent time: 4.315571308135986
( 143  /  5000 )...... Spent time: 9.356689691543579
( 144  /  5000 )...... Spent time: 4.278665065765381
( 145  /  5000 )...... Spent time: 3.7695884704589844
( 146  /  5000 )...... Spent time: 5.489773511886597
( 147  /  5000 )...... Spent time: 5.3431055545806885
( 148  /  5000 )...... Spent time: 3.9354846477508545
( 149  /  5000 )...... Spent time: 4.8891236782073975
( 150  /  5000 )...... Spent time: 6.134528875350952
( 151  /  5000 )...... Spent time: 6.260981559753418
( 152  /  5000 )...... Spent time: 3.9015462398529053
( 153  /  5000 )...... Spent time: 4.3007707595825195
( 154  /  5000 )...... Spent time: 5.142224311828613
( 155  /  5000 )...... Spent time: 8.369822025299072
( 156  /  5000 )...... Spent time: 5.524292945861816
( 157  /  5000 )...... Spent time: 5.098233222961426
( 158  /  5000 )...... Spent time: 5.2405009269714355
( 159  /  5000 )...... Spent time: 6.729292631149292
( 160  /  5000 )...... Spent time: 4.631000995635986
( 161  /  5000 )...... Spent time: 5.213657855987549
( 162  /  5000 )...... Spent time: 4.223639488220215
( 163  /  5000 )...... Spent time: 4.331122398376465
( 164  /  5000 )...... Spent time: 5.039827585220337
( 165  /  5000 )...... Spent time: 5.147951602935791
( 166  /  5000 )...... Spent time: 5.46423864364624
( 167  /  5000 )...... Spent time: 5.898712396621704
( 168  /  5000 )...... Spent time: 5.106734275817871
( 169  /  5000 )...... Spent time: 5.992605209350586
( 170  /  5000 )...... Spent time: 6.058145761489868
( 171  /  5000 )...... Spent time: 5.047300338745117
( 172  /  5000 )...... Spent time: 5.771643400192261
( 173  /  5000 )...... Spent time: 6.610541105270386
( 174  /  5000 )...... Spent time: 3.721672773361206
( 175  /  5000 )...... Spent time: 4.42467474937439
( 176  /  5000 )...... Spent time: 6.527892351150513
( 177  /  5000 )...... Spent time: 5.989208936691284
( 178  /  5000 )...... Spent time: 3.5171260833740234
( 179  /  5000 )...... Spent time: 8.987574100494385
( 180  /  5000 )...... Spent time: 4.009951591491699
( 181  /  5000 )...... Spent time: 4.806902647018433
( 182  /  5000 )...... Spent time: 4.392346382141113
( 183  /  5000 )...... Spent time: 6.927059173583984
( 184  /  5000 )...... Spent time: 4.312953472137451
( 185  /  5000 )...... Spent time: 6.176718473434448
( 186  /  5000 )...... Spent time: 6.476051568984985
( 187  /  5000 )...... Spent time: 5.028010845184326
( 188  /  5000 )...... Spent time: 4.808029413223267
( 189  /  5000 )...... Spent time: 4.334778785705566
( 190  /  5000 )...... Spent time: 5.279084205627441
( 191  /  5000 )...... Spent time: 4.911492586135864
( 192  /  5000 )...... Spent time: 6.593853712081909
( 193  /  5000 )...... Spent time: 4.767252206802368
( 194  /  5000 )...... Spent time: 4.686727046966553
( 195  /  5000 )...... Spent time: 4.525772571563721
( 196  /  5000 )...... Spent time: 4.137805461883545
( 197  /  5000 )...... Spent time: 6.4331183433532715
( 198  /  5000 )...... Spent time: 4.9770472049713135
( 199  /  5000 )...... Spent time: 5.332779169082642
( 200  /  5000 )...... Spent time: 5.590331315994263
( 201  /  5000 )...... Spent time: 4.829631805419922
( 202  /  5000 )...... Spent time: 5.176028728485107
( 203  /  5000 )...... Spent time: 5.2064597606658936
( 204  /  5000 )...... Spent time: 4.703463315963745
( 205  /  5000 )...... Spent time: 4.248428583145142
( 206  /  5000 )...... Spent time: 3.703465461730957
( 207  /  5000 )...... Spent time: 4.912442207336426
( 208  /  5000 )...... Spent time: 4.670684099197388
( 209  /  5000 )...... Spent time: 3.917548179626465
( 210  /  5000 )...... Spent time: 6.065193176269531
( 211  /  5000 )...... Spent time: 6.27402663230896
( 212  /  5000 )...... Spent time: 6.323019504547119
( 213  /  5000 )...... Spent time: 4.967592000961304
( 214  /  5000 )...... Spent time: 6.436333179473877
( 215  /  5000 )...... Spent time: 5.996536016464233
( 216  /  5000 )...... Spent time: 4.328311920166016
( 217  /  5000 )...... Spent time: 3.9885854721069336
( 218  /  5000 )...... Spent time: 4.236264944076538
( 219  /  5000 )...... Spent time: 6.5662736892700195
( 220  /  5000 )...... Spent time: 4.899060249328613
( 221  /  5000 )...... Spent time: 4.042334318161011
( 222  /  5000 )...... Spent time: 5.506789684295654
( 223  /  5000 )...... Spent time: 5.443539142608643
( 224  /  5000 )...... Spent time: 3.9087295532226562
( 225  /  5000 )...... Spent time: 4.0936665534973145
( 226  /  5000 )...... Spent time: 4.927046060562134
( 227  /  5000 )...... Spent time: 5.21138596534729
( 228  /  5000 )...... Spent time: 5.102116346359253
( 229  /  5000 )...... Spent time: 4.288791656494141
( 230  /  5000 )...... Spent time: 3.63118839263916
( 231  /  5000 )...... Spent time: 6.631397724151611
( 232  /  5000 )...... Spent time: 7.314061641693115
( 233  /  5000 )...... Spent time: 5.565857410430908
( 234  /  5000 )...... Spent time: 5.579587459564209
( 235  /  5000 )...... Spent time: 3.875509023666382
( 236  /  5000 )...... Spent time: 5.802816152572632
( 237  /  5000 )...... Spent time: 3.927382469177246
( 238  /  5000 )...... Spent time: 4.37642502784729
( 239  /  5000 )...... Spent time: 4.935120105743408
( 240  /  5000 )...... Spent time: 3.9221224784851074
( 241  /  5000 )...... Spent time: 5.534067153930664
( 242  /  5000 )...... Spent time: 5.2218708992004395
( 243  /  5000 )...... Spent time: 5.520284175872803
( 244  /  5000 )...... Spent time: 3.9901881217956543
( 245  /  5000 )...... Spent time: 4.382417440414429
( 246  /  5000 )...... Spent time: 5.47857666015625
( 247  /  5000 )...... Spent time: 5.368849039077759
( 248  /  5000 )...... Spent time: 4.253657579421997
( 249  /  5000 )...... Spent time: 6.883456468582153
( 250  /  5000 )...... Spent time: 5.573711395263672
( 251  /  5000 )...... Spent time: 5.672245264053345
5 %,  accuracy: [0]
( 252  /  5000 )...... Spent time: 4.7438132762908936
( 253  /  5000 )...... Spent time: 4.071104288101196
( 254  /  5000 )...... Spent time: 4.380690813064575
( 255  /  5000 )...... Spent time: 4.660971164703369
( 256  /  5000 )...... Spent time: 5.847371339797974
( 257  /  5000 )...... Spent time: 4.182449579238892
( 258  /  5000 )...... Spent time: 5.222895383834839
( 259  /  5000 )...... Spent time: 7.374656915664673
( 260  /  5000 )...... Spent time: 4.05509614944458
( 261  /  5000 )...... Spent time: 5.5897698402404785
( 262  /  5000 )...... Spent time: 6.903305292129517
( 263  /  5000 )...... Spent time: 5.395387172698975
( 264  /  5000 )...... Spent time: 4.994985342025757
( 265  /  5000 )...... Spent time: 6.823507070541382
( 266  /  5000 )...... Spent time: 3.9599459171295166
( 267  /  5000 )...... Spent time: 6.344687223434448
( 268  /  5000 )...... Spent time: 7.59075140953064
( 269  /  5000 )...... Spent time: 5.851508617401123
( 270  /  5000 )...... Spent time: 4.597753286361694
( 271  /  5000 )...... Spent time: 5.483073949813843
( 272  /  5000 )...... Spent time: 6.27787709236145
( 273  /  5000 )...... Spent time: 6.250385522842407
( 274  /  5000 )...... Spent time: 6.192669630050659
( 275  /  5000 )...... Spent time: 4.801548480987549
( 276  /  5000 )...... Spent time: 3.9460275173187256
( 277  /  5000 )...... Spent time: 4.336605548858643
( 278  /  5000 )...... Spent time: 6.570904016494751
( 279  /  5000 )...... Spent time: 3.9856159687042236
( 280  /  5000 )...... Spent time: 3.7666618824005127
( 281  /  5000 )...... Spent time: 5.9336957931518555
( 282  /  5000 )...... Spent time: 4.913721084594727
( 283  /  5000 )...... Spent time: 3.6106081008911133
( 284  /  5000 )...... Spent time: 4.497642993927002
( 285  /  5000 )...... Spent time: 5.593207597732544
( 286  /  5000 )...... Spent time: 5.136000156402588
( 287  /  5000 )...... Spent time: 3.9591598510742188
( 288  /  5000 )...... Spent time: 7.119237184524536
( 289  /  5000 )...... Spent time: 5.705749273300171
( 290  /  5000 )...... Spent time: 4.363103628158569
( 291  /  5000 )...... Spent time: 4.89987325668335
